PARAHELLIP x*10 y*10 2*(x*x)+y*y -4 4 -4 4 16 16 1 0
TORUS (2+cos(x))*cos(y) (2+cos(x))*sin(y) sin(x) -3.141592654 3.141592654 -3.141592654 3.141592654 16 16 100 0
PARAHYPER x*10 y*10 (x*x)-(y*y) -4 4 -4 4 16 16 1 0
BSPHERE x y sqrt(1000-((x*x)+(y*y))) -20 20 -20 20 20 20 1 0
VAGUES x y cos(x)*cos(y) -5 5 -5 5 20 20 100 0
CYL cos(x) sin(x) y 0 6.28318532 -4 4 10 10 100 0
SPIRALE x*cos(y) x*sin(y) y/x 1.0 4.0 0.0 6.28318532 16 16 100 0
SPHERE cos(x)*cos(y) cos(x)*sin(y) sin(x) -3.141592654 3.141592654 0.0 3.141592654 16 16 100 0
MOEBIUS (5+y*cos(x/2))*cos(x) (5+y*cos(x/2))*sin(x) y*sin(x/2) 0.0 6.28318532 -1 1 30 4 50 0
SURF0 x y (x*x)*(y*y) -1 1 -1 1 12 12 100 0
SURF1 x y exp(-(x*x+y*y)) -2 2 -2 2 20 20 100 0
SURF2 x y (cos(sqrt(x*x+y*y)))/(2+sqrt(x*x+y*y)) -10 10 -10 10 20 20 100 0
SURF3 x y sqrt(x*x+y*y)*sin(sqrt(x*x+y*y)) -2 2 -2 2 20 20 100 0
SURF4 x y sqrt(x*x+y*y) -2 2 -2 2 12 12 100 0
FCT0 x y r**2/(1+r**2) -2 2 -2 2 10 10 100 0
FCT1 x y cos(r**2)/(1+r**2) -2 2 -2 2 24 24 100 0
FCT2 x*cos(y) x*sin(y) x 0.0001 3.141592654 -3.141592654 3.141592654 10 10 100 0
FCT3 x*cos(y) x*sin(y) x*x 0.001 3.141592654 -3.141592654 3.141592654 16 16 50 0
FCT4 x*cos(y) x*sin(y) sqrt(x) 0.0001 5.0 -3.141592654 3.141592654 10 10 100 0
FCT5 x*cos(y) x*sin(y) 1/x 1.0 4.0 0 6.28318532 16 16 100 0
FCT6 x*cos(y) x*sin(y) sin(x**2) -5 5 0 3.141592654 16 16 50 0
FCT7 x*cos(y) x*sin(y) cos(x**2) -5 5 0 3.141592654 16 16 50 0
FCT8 x*cos(y) x*sin(y) cos(x)*sin(y) -5 5 0 3.141592654 16 16 50 0
FCT9 x*cos(y) x*sin(y) tan(x**2) -5 5 0 3.141592654 16 16 50 0
FCT10 x*cos(y) x*sin(y) exp(-(x**2)) -2.5 2.5 0 3.141592654 16 16 50 0
FCT11 x*cos(y) x*sin(y) (x**3+2*x-13)/10 -2.5 2.5 0 6.28318532 32 32 100 0
FCT12 x y 0 -10.0 10.0 -10.0 10.0 10 10 100 0
Fct13 x y cos(r) -5 5 -5 5 16 16 100 0
Fct14 x y cos(r)*sin(r) -5 5 -5 5 16 16 100 0
Fct15 y x cos(cos(r)-sin(r))*sin(y) -5 5 -5 5 16 16 100 0
